"","lhs","","rhs","support","confidence","coverage","lift","count"
"[120]","{V1=Gemeos, V4=}","=>","{V2=}",0.0512820512820513,1,0.0512820512820513,3,2
"[121]","{V1=Gemeos, V3=}","=>","{V4=}",0.0512820512820513,1,0.0512820512820513,2.4375,2
"[122]","{V1=Gemeos, V4=}","=>","{V3=}",0.0512820512820513,1,0.0512820512820513,3,2
"[123]","{V2=Gemeos, V3=Afundo}","=>","{V1=LegPress}",0.0769230769230769,1,0.0769230769230769,2.6,3
"[124]","{V1=LegPress, V3=Afundo}","=>","{V2=Gemeos}",0.0769230769230769,1,0.0769230769230769,5.57142857142857,3
"[125]","{V2=Gemeos, V3=Bicicleta}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[126]","{V2=Gemeos, V4=Esteira}","=>","{V3=Bicicleta}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[127]","{V2=Gemeos, V3=Bicicleta}","=>","{V1=Extensor}",0.0256410256410256,1,0.0256410256410256,3,1
"[128]","{V1=Extensor, V2=Gemeos}","=>","{V3=Bicicleta}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[129]","{V2=Gemeos, V4=Esteira}","=>","{V1=Extensor}",0.0256410256410256,1,0.0256410256410256,3,1
"[130]","{V1=Extensor, V2=Gemeos}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[131]","{V2=Gemeos, V4=}","=>","{V1=LegPress}",0.0769230769230769,1,0.0769230769230769,2.6,3
"[132]","{V2=AgachamentoSmith, V3=Bicicleta}","=>","{V1=Extensor}",0.205128205128205,1,0.205128205128205,3,8
"[133]","{V3=Bicicleta, V4=Esteira}","=>","{V1=Extensor}",0.256410256410256,1,0.256410256410256,3,10
"[134]","{V1=LegPress, V2=}","=>","{V3=}",0.230769230769231,1,0.230769230769231,3,9
"[135]","{V1=LegPress, V3=}","=>","{V2=}",0.230769230769231,1,0.230769230769231,3,9
"[136]","{V2=, V3=}","=>","{V4=}",0.333333333333333,1,0.333333333333333,2.4375,13
"[137]","{V2=, V4=}","=>","{V3=}",0.333333333333333,1,0.333333333333333,3,13
"[138]","{V3=, V4=}","=>","{V2=}",0.333333333333333,1,0.333333333333333,3,13
"[139]","{V1=LegPress, V2=}","=>","{V4=}",0.230769230769231,1,0.230769230769231,2.4375,9
"[140]","{V1=LegPress, V3=}","=>","{V4=}",0.230769230769231,1,0.230769230769231,2.4375,9
"[141]","{V2= Gemeos, V3=Bicicleta, V4=Esteira}","=>","{V1=Extensor}",0.0256410256410256,1,0.0256410256410256,3,1
"[142]","{V1=Extensor, V2= Gemeos, V3=Bicicleta}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[143]","{V1=Extensor, V2= Gemeos, V4=Esteira}","=>","{V3=Bicicleta}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[144]","{V1=Afundo, V2=AgachamentoSmith, V3=Gemeos}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[145]","{V1=Afundo, V3=Gemeos, V4=Esteira}","=>","{V2=AgachamentoSmith}",0.0256410256410256,1,0.0256410256410256,3.9,1
"[146]","{V1=Afundo, V2=AgachamentoSmith, V4=Esteira}","=>","{V3=Gemeos}",0.0256410256410256,1,0.0256410256410256,19.5,1
"[147]","{V1=Extensor, V2=AgachamentoSmith, V3=Gemeos}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[148]","{V1=Extensor, V3=Gemeos, V4=Esteira}","=>","{V2=AgachamentoSmith}",0.0256410256410256,1,0.0256410256410256,3.9,1
"[149]","{V2=Gemeos, V3=Afundo, V4=Crucifixo}","=>","{V1=LegPress}",0.0512820512820513,1,0.0512820512820513,2.6,2
"[150]","{V1=LegPress, V3=Afundo, V4=Crucifixo}","=>","{V2=Gemeos}",0.0512820512820513,1,0.0512820512820513,5.57142857142857,2
"[151]","{V1=LegPress, V2=Gemeos, V4=Crucifixo}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[152]","{V2=Flexor, V3=Bicicleta, V4=Esteira}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[153]","{V1=Extensor, V2=Flexor, V3=Bicicleta}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[154]","{V1=Extensor, V2=Flexor, V4=Esteira}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[155]","{V2=AgachamentoSmith, V3=Bicicleta, V4=Gemeos}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[156]","{V1=Extensor, V2=AgachamentoSmith, V4=Gemeos}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[157]","{V1=Extensor, V3=Bicicleta, V4=Gemeos}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[158]","{V1=Gemeos, V2=LegPress, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[159]","{V2=LegPress, V3=Afundo, V4=Bicicleta}","=>","{V1=Gemeos}",0.0256410256410256,1,0.0256410256410256,7.8,1
"[160]","{V1=Gemeos, V3=Afundo, V4=Bicicleta}","=>","{V2=LegPress}",0.0256410256410256,1,0.0256410256410256,13,1
"[161]","{V2=Gemeos, V3=Afundo, V4=Bicicleta}","=>","{V1=LegPress}",0.0256410256410256,1,0.0256410256410256,2.6,1
"[162]","{V1=LegPress, V3=Afundo, V4=Bicicleta}","=>","{V2=Gemeos}",0.0256410256410256,1,0.0256410256410256,5.57142857142857,1
"[163]","{V1=LegPress, V2=Gemeos, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[164]","{V1=Gemeos, V2=LegPress, V4=Agachamento}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[165]","{V2=LegPress, V3=Afundo, V4=Agachamento}","=>","{V1=Gemeos}",0.0512820512820513,1,0.0512820512820513,7.8,2
"[166]","{V1=Gemeos, V3=Afundo, V4=Agachamento}","=>","{V2=LegPress}",0.0512820512820513,1,0.0512820512820513,13,2
"[167]","{V1=Afundo, V2=, V3=}","=>","{V4=}",0.0512820512820513,1,0.0512820512820513,2.4375,2
"[168]","{V1=Afundo, V2=, V4=}","=>","{V3=}",0.0512820512820513,1,0.0512820512820513,3,2
"[169]","{V1=Afundo, V3=, V4=}","=>","{V2=}",0.0512820512820513,1,0.0512820512820513,3,2
"[170]","{V2=Agachamento, V3=LegPress, V4=Adutor}","=>","{V1=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[171]","{V1=Adutor, V3=LegPress, V4=Adutor}","=>","{V2=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[172]","{V1=Adutor, V2=Agachamento, V4=Adutor}","=>","{V3=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[173]","{V1=Adutor, V2=Agachamento, V3=LegPress}","=>","{V4=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[174]","{V1=LegPress, V2=Gemeos, V3=Agachamento}","=>","{V4=}",0.0769230769230769,1,0.0769230769230769,2.4375,3
"[175]","{V2=Gemeos, V3=Agachamento, V4=}","=>","{V1=LegPress}",0.0769230769230769,1,0.0769230769230769,2.6,3
"[176]","{V1=LegPress, V3=Agachamento, V4=}","=>","{V2=Gemeos}",0.0769230769230769,1,0.0769230769230769,5.57142857142857,3
"[177]","{V1=LegPress, V2=Gemeos, V4=}","=>","{V3=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[178]","{V1=Gemeos, V2=, V3=}","=>","{V4=}",0.0512820512820513,1,0.0512820512820513,2.4375,2
"[179]","{V1=Gemeos, V2=, V4=}","=>","{V3=}",0.0512820512820513,1,0.0512820512820513,3,2
"[180]","{V1=Gemeos, V3=, V4=}","=>","{V2=}",0.0512820512820513,1,0.0512820512820513,3,2
"[181]","{V2=Gemeos, V3=Bicicleta, V4=Esteira}","=>","{V1=Extensor}",0.0256410256410256,1,0.0256410256410256,3,1
"[182]","{V1=Extensor, V2=Gemeos, V3=Bicicleta}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[183]","{V1=Extensor, V2=Gemeos, V4=Esteira}","=>","{V3=Bicicleta}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[184]","{V2=AgachamentoSmith, V3=Bicicleta, V4=Esteira}","=>","{V1=Extensor}",0.153846153846154,1,0.153846153846154,3,6
"[185]","{V1=LegPress, V2=, V3=}","=>","{V4=}",0.230769230769231,1,0.230769230769231,2.4375,9
"[186]","{V1=LegPress, V2=, V4=}","=>","{V3=}",0.230769230769231,1,0.230769230769231,3,9
"[187]","{V1=LegPress, V3=, V4=}","=>","{V2=}",0.230769230769231,1,0.230769230769231,3,9
"[188]","{V1=Extensor}","=>","{V3=Bicicleta}",0.307692307692308,0.923076923076923,0.333333333333333,3,12
"[189]","{V4=Esteira}","=>","{V1=Extensor}",0.282051282051282,0.916666666666667,0.307692307692308,2.75,11
"[190]","{V1=Extensor, V4=Esteira}","=>","{V3=Bicicleta}",0.256410256410256,0.909090909090909,0.282051282051282,2.95454545454545,10
"[191]","{V2=AgachamentoSmith}","=>","{V1=Extensor}",0.230769230769231,0.9,0.256410256410256,2.7,9
"[192]","{V1=Extensor, V2=AgachamentoSmith}","=>","{V3=Bicicleta}",0.205128205128205,0.888888888888889,0.230769230769231,2.88888888888889,8
"[193]","{V2=AgachamentoSmith, V4=Esteira}","=>","{V1=Extensor}",0.179487179487179,0.875,0.205128205128205,2.625,7
"[194]","{V2=Gemeos}","=>","{V1=LegPress}",0.153846153846154,0.857142857142857,0.17948717948718,2.22857142857143,6
"[195]","{V1=Extensor, V2=AgachamentoSmith, V4=Esteira}","=>","{V3=Bicicleta}",0.153846153846154,0.857142857142857,0.17948717948718,2.78571428571429,6
"[196]","{V1=Extensor}","=>","{V4=Esteira}",0.282051282051282,0.846153846153846,0.333333333333333,2.75,11
"[197]","{V3=Bicicleta}","=>","{V4=Esteira}",0.256410256410256,0.833333333333333,0.307692307692308,2.70833333333333,10
"[198]","{V4=Esteira}","=>","{V3=Bicicleta}",0.256410256410256,0.833333333333333,0.307692307692308,2.70833333333333,10
"[199]","{V1=Extensor, V3=Bicicleta}","=>","{V4=Esteira}",0.256410256410256,0.833333333333333,0.307692307692308,2.70833333333333,10
"[200]","{V4=}","=>","{V2=}",0.333333333333333,0.8125,0.41025641025641,2.4375,13
"[201]","{V4=}","=>","{V3=}",0.333333333333333,0.8125,0.41025641025641,2.4375,13
"[202]","{V2=AgachamentoSmith}","=>","{V3=Bicicleta}",0.205128205128205,0.8,0.256410256410256,2.6,8
"[203]","{V2=AgachamentoSmith}","=>","{V4=Esteira}",0.205128205128205,0.8,0.256410256410256,2.6,8
"[204]","{V1=LegPress}","=>","{V4=}",0.307692307692308,0.8,0.384615384615385,1.95,12
"[205]","{V1=Extensor, V2=AgachamentoSmith}","=>","{V4=Esteira}",0.179487179487179,0.777777777777778,0.230769230769231,2.52777777777778,7
"[206]","{V4=}","=>","{V1=LegPress}",0.307692307692308,0.75,0.41025641025641,1.95,12
"[207]","{V2=AgachamentoSmith, V3=Bicicleta}","=>","{V4=Esteira}",0.153846153846154,0.75,0.205128205128205,2.4375,6
"[208]","{V2=AgachamentoSmith, V4=Esteira}","=>","{V3=Bicicleta}",0.153846153846154,0.75,0.205128205128205,2.4375,6
"[209]","{V1=LegPress, V4=}","=>","{V2=}",0.230769230769231,0.75,0.307692307692308,2.25,9
"[210]","{V1=LegPress, V4=}","=>","{V3=}",0.230769230769231,0.75,0.307692307692308,2.25,9
"[211]","{V1=Extensor, V2=AgachamentoSmith, V3=Bicicleta}","=>","{V4=Esteira}",0.153846153846154,0.75,0.205128205128205,2.4375,6
